date,North east,England & Wales
2005-01-31,91.92968942971888,90.05821908891491
2005-02-28,91.67408680786883,90.59049827087435
2005-03-31,92.33267083984578,90.80391905701977
2005-04-30,93.78141240009576,91.16362856948909
2005-05-31,93.80678817111851,91.32360407625448
2005-06-30,95.16627389541476,91.30363474394156
2005-07-31,95.1950594584542,91.46732980038108
2005-08-31,94.77081214739229,91.27560445006922
2005-09-30,94.87901950854025,91.35779487427457
2005-10-31,95.95165442037941,91.75402571510666
2005-11-30,95.97923749637916,91.92991392032168
2005-12-31,96.00083284581818,92.33879704184214
2006-01-31,96.57556399730743,92.68185575772341
2006-02-28,96.69595271689181,93.22859468904102
2006-03-31,97.62302904343886,93.87890564339375
2006-04-30,98.52322237205723,94.36865409954817
2006-05-31,98.45677260879482,94.7638271934417
2006-06-30,98.24555493664994,95.18212542507479
2006-07-31,99.12043014773377,95.35509029671778
2006-08-31,98.72888060069663,95.80938098324435
2006-09-30,98.74933935279677,96.77447045236232
2006-10-31,99.75218883527023,97.34480527692511
2006-11-30,100.888794410379,98.30841273796982
2006-12-31,101.09809304498792,99.12984041272122
2007-01-31,101.9592714345168,99.84227947022454
2007-02-28,102.1957825155584,100.64627756767489
2007-03-31,103.15301161643661,101.4059258470577
2007-04-30,103.82719503507927,102.07900741957172
2007-05-31,103.94189253175657,102.65993714890939
2007-06-30,104.0498445703139,103.11079306378377
2007-07-31,104.50966408359822,103.67830916710913
2007-08-31,104.61743492547832,104.22856423522806
2007-09-30,104.10449184091952,104.59211534509517
2007-10-31,105.61698992291151,104.93848678490497
2007-11-30,104.08238584629927,105.13661673481192
2007-12-31,104.65164815262162,105.02678540709076
2008-01-31,104.54837428282148,104.8376811769399
2008-02-29,104.58686210430454,104.94742532771556
2008-03-31,104.21179321868141,103.67566479976269
2008-04-30,103.77050518374867,103.49103565281352
2008-05-31,102.27540198276937,103.10421992209402
2008-06-30,101.73864800758193,101.3687477857056
2008-07-31,100,100
2008-08-31,97.03731902055289,97.71707989313735
2008-09-30,95.56722096102929,95.60138841490462
2008-10-31,93.78808373230234,93.98870791213308
2008-11-30,91.82454593965838,91.83481549638786
2008-12-31,90.73885663084711,89.88630034061777
2009-01-31,90.27942421955501,89.351934723763
2009-02-28,90.51382683017086,88.22939206750239
2009-03-31,87.58798642968667,87.4421493789747
2009-04-30,87.16562521131033,87.10551850987402
2009-05-31,86.18597713973303,87.36156301056631
2009-06-30,86.01385676880366,87.73063532698096
2009-07-31,88.23321956103787,89.08560915529958
2009-08-31,87.06690596707838,89.50692952104289
2009-09-30,87.8353693113612,90.32260351739215
2009-10-31,88.1365676061687,91.3618863789161
2009-11-30,88.61528099115901,91.90953195046676
2009-12-31,89.3135059143831,92.31078418335893
2010-01-31,88.19959934120183,93.47565996434811
2010-02-28,88.44199931425294,93.91125991376225
2010-03-31,89.59669161223286,93.94285865060318
2010-04-30,89.28988445664429,94.10084071121508
2010-05-31,87.55976092910409,94.28577207157531
2010-06-30,87.56802185034257,94.31801591781283
2010-07-31,89.2379880810473,94.82571701294124
2010-08-31,88.95774271109599,94.78106498146269
2010-09-30,87.83102882732065,94.73805768835567
2010-10-31,86.81409542129998,94.15930738265517
2010-11-30,86.32782119314223,93.42322593753575
2010-12-31,86.5436758529813,92.92269659912273
2011-01-31,86.24068206382685,92.93040885290019
2011-02-28,82.87897305630119,92.90421508667946
2011-03-31,84.53916290264888,92.14152142600095
2011-04-30,84.49607927453464,92.58514746619628
2011-05-31,83.42339494541984,92.08406600712851
2011-06-30,83.86376876075391,91.86152651248514
2011-07-31,82.29486909487235,92.65326171960362
2011-08-31,83.87555478098551,92.67101675750116
2011-09-30,82.64905094534014,92.0618823804002
2011-10-31,82.30670453237956,91.64382824421449
2011-11-30,82.11751872894155,91.77225150850987
2011-12-31,81.12225479827333,91.4364865970677
2012-01-31,82.20829826422643,92.09457954675428
2012-02-29,78.67054844857346,92.26125605472946
2012-03-31,83.12908212434654,91.9526031733338
2012-04-30,81.82845237529489,92.002142925556
2012-05-31,81.00692311322577,92.41154329695304
2012-06-30,81.00918807169096,92.61542111346579
2012-07-31,81.02801605369615,93.35430384443356
2012-08-31,81.44158099701495,93.25620653357498
2012-09-30,81.24435665007866,92.80308401811791
2012-10-31,78.79365511831608,92.31854293150728
2012-11-30,79.69497680806074,92.26025642575453
2012-12-31,79.4237830357576,92.28063258381309
2013-01-31,78.55228467184006,93.00881579767139
2013-02-28,80.16052872531515,93.03316141264777
2013-03-31,78.6048234720199,92.43448245720892
2013-04-30,78.87518538685038,92.97553745168072
2013-05-31,80.37537033100432,93.10758146511202
2013-06-30,80.04183666552652,93.34545247856842
2013-07-31,80.83268603565801,94.62781372309254
2013-08-31,80.16776835619116,94.8129252491401
2013-09-30,80.91564940518484,95.57787388680852
2013-10-31,77.97184582501853,95.38851393761757
2013-11-30,78.95765458362116,95.51702437885847
2013-12-31,78.65881184561746,96.26366585797457
2014-01-31,80.54380911490118,97.50163079006025
2014-02-28,80.822950832364,98.04056447885854
2014-03-31,82.21937597017435,97.94018313202821
2014-04-30,81.27212092275562,99.16890149609587
2014-05-31,81.60946795466756,99.61632845111443
2014-06-30,81.90929903818332,99.99689650074066
2014-07-31,82.50235576270912,101.96473587942707
2014-08-31,82.76463795297832,102.8520053952068
2014-09-30,82.22782632430268,102.89046786355576
2014-10-31,80.33559766035556,102.5394353630606
2014-11-30,81.31473508675161,102.55745193179462
2014-12-31,80.95223466155713,102.87420645732422
2015-01-31,79.70164814026731,103.91140288395285
